指标,名称,描述
BasicInfo_Contact,,
HVoltageProbeInfo_Count,电压数量,
"ModifyHostMonitorPassword",更改主机监控密码,
TCPPortRTT,,
"CPURUNTIME_PercentPrivileged",特权模式占CPU率,"特权模式占CPU率，指CPU在特权模式下处理线程所花的时间百分比。一般的系统服务，进程管理，内存管理等一些由操作系统自行启动的进程属于特权模式进程。"
TimeWait,TIME_WAIT数,TIME_WAIT数
BasicInfo_Descr,,
HAmperage_Count,电流数量,
PagesOutputPersecCount,换页数,
"Storage_Used__Yesterday_Rate",磁盘空间使用昨日增长率,"昨日0时至昨日24时，总分区已使用空间增长量相对于分区总空间大小的百分比。"
WinDNSEvent,WinDNSEvent,
WinCPUs_table,windows_cpus信息,
SNMPRWTest_SNMPReadRTT,,
BasicInfo_Oid,,
LostPercent,,
Capacity_Week,周吞吐量指标,
OSSwapInfo_UsedRatio,虚拟内存使用率,"虚拟内存已经使用的空间量的百分比。造成虚拟内存使用率越过阈值的原因可能是内存太少、大量常驻内存程序或者是虚拟内存设置太少。虚拟内存使用率过高，物理内存分页不能正常写出到虚拟内存，会产生内存瓶颈，系统性能降低。"
PagesOutputPersec,页面换出/秒,页面换出/秒
TCPPortStatus,TCP端口状态,
SNMPRWTest_SNMPWriteRTT,,
TimeDifference,系统时间误差,"系统时间误差，指的是被管Windows对象的系统时间与BTSO网管机/分布式采集器的系统时间之间的差值，单位为秒。"
Capacity_HHour,30分钟吞吐量,30分吞吐量指标
OSMEM_UsedRatio,内存使用率,"内存已用空间占内存总空间的百分比。持续过高，会导致系统因资源不足，进程运行缓慢或出现等待。处置经验：1、请查看该内存指标历史记录，若长期未变化，说明该应用程序存在问题，需要考虑重启应用； 2、请检查本机告警发生时间段的历史记录： 若存在“虚拟内存使用率“持续过高，若存在则考虑扩充虚拟内存量解决； 若存在“每秒硬错误访问页数”持续过高，且 硬盘繁忙率指标的同时过高，则可定位为硬盘瓶颈，建议更换硬盘； 如上问题均无法解决，建议扩展内容容量；"
FileName,指定文件存在性监测,判断文件名是否满足参数要求
FileUpdateTime,"文件更新距今时长(分钟)","文件更新距今时长(分钟)"
PageFaultsPersec,每秒页面错误数,
DirectoryName,指定目录存在性检测,判断目录名是否满足参数要求
OSSwapInfo_Total,虚拟内存总空间,"虚拟内存是用磁盘空间做内存来弥补计算机内存空间的缺乏。当物理内存用完后，虚拟内存管理器选择最近没有用过的，低优先级的内存部分写到交换文件上，这个过程对应用是隐藏的。"
OSMEM_Used,内存已用大小,物理内存已经分配给系统和进程运行的总大小。
Storage_Total,磁盘空间总容量,系统分区总空间大小。
